s,s dot,E_k
0,0,0
0,0.05,0.00137503016785108
5.921788535634608e-06,0.0999999996493242,0.00550035548574253
1.77654235724927e-5,0.149999998246607,0.0123768565670362
3.55310501171951e-5,0.199999995090432,0.0220061188669793
5.92189001881506e-5,0.249999989479290,0.0343904333353181
8.88292927683969e-5,0.299999980711535,0.0495327973732918
0.000124362633740522,0.349999968085350,0.0674369160955934
0.000165819415803672,0.399999950898700,0.0881072038980944
0.000213200218372630,0.449999928449290,0.111548786332283
0.000266505707458986,0.499999900034530,0.137767502287596
0.000325736635534368,0.549999864951490,0.166769906483017
0.000390893841375755,0.599999822496857,0.198563272269449
0.000461978249892853,0.649999771966900,0.233155594744677
0.000538990871937540,0.699999712657425,0.270555594182809
0.000621932804095361,0.749999643863737,0.310772719780367
0.000710805228459086,0.799999564880597,0.353817153721379
0.000805609412384312,0.849999475002183,0.399699815564015
0.000906346708227106,0.899999373522052,0.448432366951501
0.00101301855306368,0.949999259733098,0.500027216650336
0.00112562646839211,0.999999132927511,0.554497525918894
0.00124417205981602,1.04999899239674,0.611857214209857
0.00136865701671038,1.09999883743146,0.672120965210107
0.00149908311186916,1.14999866732150,0.735304233221746
0.00163545220113513,1.19999848135587,0.801423249888512
0.00177776622301149,1.24999827882265,0.870495031271593
0.00192602719825560,1.29999805900900,0.942537385279650
0.00208023722945457,1.34999782120110,1.01756891945740
0.00224039850058282,1.39999756468412,1.09560904913807
0.00240651327654164,1.44999728874217,1.17667800596462
0.00257858390268050,1.49999699265829,1.26079684678545
0.00275661280430045,1.54999667571438,1.34798746293020
0.00294060248613929,1.59999633719121,1.43827258987142
0.00313055553183861,1.64999597636831,1.53167581727859
0.00332647460339273,1.69999559252401,1.62822159947067
0.00352836244057943,1.74999518493536,1.72793526627448
0.00373622186037253,1.79999475287811,1.83084303429517
0.00395005575633619,1.84999429562667,1.93697201860658
0.00416986709800109,1.89999381245407,2.04635024486907
0.00439565893022226,1.94999330263196,2.15900666188274
0.00462743437251868,1.99999276543052,2.27497115458351
0.00486519661839462,2.04999220011847,2.39427455749230
0.00510894893464253,2.09999160596302,2.51694866862381
0.00535869466062775,2.14999098222985,2.64302626386583
0.00561443720755473,2.19999032818307,2.77254111183812
0.00587618005771485,2.24998964308518,2.90552798924019
0.00614392676371588,2.29998892619706,3.04202269669870
0.00641768094769290,2.34998817677791,3.18206207512462
0.00669744630050076,2.39998739408526,3.32568402259136
0.00698322658088799,2.44998657737490,3.47292751174528
0.00727502561465219,2.49998572590089,3.62383260775917
0.00757284729377677,2.54998483891550,3.77844048684240
0.00787669557554909,2.59998391566919,3.93679345531933
0.00818657448165989,2.64998295541060,4.09893496928793
0.00850248809728408,2.69998195738652,4.26490965487431
0.00882444057014264,2.74998092084182,4.43476332909456
0.00915243610954590,2.79997984501951,4.60854302133923
0.00948647898541781,2.84997872916063,4.78629699549569
0.00982657352730145,2.89997757250428,4.96807477272142
0.0101727241233455,2.94997637428757,5.15392715488719
0.0105249352192719,2.99997513374562,5.34390624870244
0.0108832113173241,3.04997385011152,5.53806549054343
0.0112475569751968,3.09997252261631,5.73645967199780
0.0116179768049460,3.14997115048898,5.93914496614696
0.0119944754718802,3.19996973295643,6.14617895460038
0.0123770576934320,3.24996826924344,6.35762065530544
0.0127657282380111,3.29996675857270,6.57353055114845
0.0131604919238369,3.34996520016473,6.79397061936959
0.0135613536177524,3.39996359323793,7.01900436181110
0.0139683182340186,3.44996193700851,7.24869683602096
0.0143813907330887,3.49996023069050,7.48311468723382
0.0148005761203636,3.54995847349574,7.72232618125278
0.0152258794449266,3.59995666463384,7.96640123825419
0.0156573057982592,3.64995480331221,8.21541146754140
0.0160948603129368,3.69995288873602,8.46943020327158
0.0165385481613042,3.74995092010820,8.72853254118102
0.0169883745541311,3.79994889662942,8.99279537633834
0.0174443447392480,3.84994681749809,9.26229744194825
0.0179064640001612,3.89994468191037,9.53711934923977
0.0183747376546481,3.94994248906013,9.81734362846379
0.0188491710533319,3.99994023813897,10.1030547710333
0.0193297695782354,4.04993792833619,10.3943392728345
0.0198165386413152,4.09993555883884,10.6912856787446
0.0203094836829746,4.14993312883165,10.9939846283850
0.0208086101705553,4.19993063749708,11.3025289031491
0.0213139235968096,4.24992808401529,11.6170134745339
0.0218254294783501,4.29992546756416,11.9375355538193
0.0223431333540794,4.34992278731929,12.2641946431240
0.0228670407835980,4.39992004245400,12.5970925878846
0.0233971573455913,4.44991723213933,12.9363336307919
0.0239334886361947,4.49991435554405,13.2820244672291
0.0244760402673376,4.54991141183467,13.6342743022517
0.0250248178650656,4.59990840017545,13.9931949091565
0.0255798270678405,4.64990531972841,14.3589006896791
0.0261410735248189,4.69990216965332,14.7315087358712
0.0267085628941086,4.74989894910776,15.1111388937054
0.0272823008410022,4.79989565724708,15.4979138284535
0.0278622930361895,4.84989229322445,15.8919590918910
0.0284485451539461,4.89988885619086,16.2934031913839
0.0290410628703003,4.94988534529516,16.7023776609038
0.0296398518611766,4.99988175968404,17.1190171340375
0.0302449178005167,5.04987809850208,17.5434594190384
0.0308562663583770,5.09987436089179,17.9758455759876
0.0314739031990029,5.14987054599359,18.4163199961201
0.0320978339788800,5.19986665294585,18.8650304833833
0.0327280643447609,5.24986268088494,19.3221283382895
0.0333645999316689,5.29985862894522,19.7877684441318
0.0340074463608774,5.34985449625912,20.2621093556315
0.0346566092378652,5.39985028195710,20.7453133900918
0.0353120941502473,5.44984598516778,21.2375467211225
0.0359739066656813,5.49984160501786,21.7389794750227
0.0366420523297489,5.54983714063227,22.2497858298930
